source,target
7,55
7,101
8,76
8,82
9,90
9,127
11,39
11,77
12,83
12,152
13,86
13,95
13,146
14,63
16,145
16,130
16,100
16,44
17,36
17,81
17,36
19,79
20,58
21,11
21,96
24,135
24,40
25,111
25,126
25,98
26,137
26,74
26,51
27,153
27,14
29,66
29,48
29,160
29,24
32,13
34,47
34,132
35,58
37,19
37,134
38,12
38,50
40,58
41,8
41,82
42,88
43,32
43,61
44,100
45,58
46,85
46,22
48,69
48,115
49,21
49,150
49,142
50,87
52,11
52,138
53,91
53,68
55,67
55,38
55,133
55,97
58,112
58,149
58,35
58,128
59,141
59,26
60,39
60,77
61,143
61,65
61,54
63,157
63,151
64,120
64,17
65,59
65,109
66,99
66,139
67,105
67,49
69,58
70,104
71,120
72,62
72,72
73,126
73,148
73,98
75,106
75,18
76,46
76,82
78,155
78,31
80,104
82,28
83,136
83,113
83,73
84,29
84,122
85,53
87,105
87,49
88,42
88,56
89,19
89,37
89,134
90,147
90,108
90,94
93,110
93,131
94,108
94,147
96,11
96,52
97,124
97,43
98,126
98,148
99,58
101,26
101,141
102,13
102,61
104,122
104,84
105,107
105,27
105,154
105,93
106,23
106,123
107,64
107,129
109,65
111,126
111,57
112,119
113,136
113,73
115,58
116,158
116,30
117,159
117,47
119,144
119,72
120,10
120,71
120,88
121,126
121,25
121,98
123,106
124,61
124,13
124,32
125,119
127,140
128,92
128,125
130,100
130,44
131,104
132,47
132,159
132,117
133,32
133,61
133,13
134,79
135,58
136,13
136,61
136,32
138,75
138,116
139,58
141,118
141,103
141,114
142,77
142,39
144,62
144,144
145,130
145,100
145,44
147,108
147,94
148,25
148,111
148,121
148,98
149,78
149,15
150,60
150,33
151,156
152,87
153,16
153,89
154,9
154,34
155,112
155,128
156,41
156,82
157,156
158,106
158,18
159,80
159,70
160,20
160,45